STFID,NUMERSUM
470190702002,1210.00000051
471519750003,1930.00000192
471790610004,586.00000073
470259707003,2590.00000100
471790611004,1085.00000045
471790617004,1097.00000118
470730503007,1180.00000058
471790604005,1414.00000087
470730501001,1954.00000150
470190710002,1430.00000093
471790610003,562.00000035
470730501002,1507.00000231
471790604001,695.00000103
470730503004,1130.00000038
471519751001,1401.00000078
471790604003,655.00000016
471790609001,722.00000061
471790605001,719.00000097
470730503001,881.00000030
470259707002,1291.00000063
471790609003,743.00000035
470190707001,3341.00000259
471519751005,1642.00000096
471790609002,1245.00000014
470190709001,1590.00000050
470139501003,1062.00000278
471790601001,817.00000062
470259706001,1160.00000124
471790609004,727.00000017
471519751004,1312.00000201
471790601002,1634.00000039
470730503006,1574.00000135
471790603001,1078.00000032
470730503002,692.00000032
470590915001,1298.00000084
471790603002,637.00000031
470590909003,1500.00000153
470190714002,1654.00000182
471790608001,1080.00000046
470190709002,1523.00000046
471790601003,1278.00000040
471790603003,960.00000027
471790608003,1181.00000081
471790605002,1287.00000028
471790605003,719.00000034
471790603004,736.00000062
470259709004,1489.00000099
471790608002,695.00000044
471379851001,1131.00000185
471790609005,1302.00000026
471790602001,404.00000020
471790606001,983.00000052
470190708002,620.00000030
470259707001,979.00000014
470259705003,694.00000044
471790616004,793.00000098
471790605005,1875.00000300
471790607001,2042.00000107
470190708001,1329.00000059
471790605004,1439.00000079
471790617002,1115.00000157
471790606004,2807.00000189
470190708003,905.00000131
470259705002,834.00000053
471790606002,785.00000160
470259706002,1659.00000134
471790606003,1219.00000050
471790605006,3886.00000240
470190715002,1325.80322922
470575001001,1265.00000135
470590914001,899.00000080
471379851002,1025.00000060
470259709003,1101.00000036
471790617003,2428.00000154
470730508003,1391.00000072
470730508004,1687.00000175
470279550001,998.00000253
470279550002,538.00000053
470190715001,819.00000053
470139508001,1053.00000077
471790619001,1047.00000066
471790619002,1142.00000065
471379851003,1101.00000024
470575004001,1431.00000214
470259709002,730.00000125
471790618001,2684.00000234
470499650002,1569.00000291
471790617005,2260.00000139
470499650001,1428.00000218
471710803001,2692.00000135
470590908001,1085.00000124
471519751002,1287.00000025
470590913001,1459.00000135
470190717003,1763.67746061
471790619004,2860.00000127
471379851004,1036.00000115
471730403002,1324.00000278
471519751003,924.00000092
470259706003,988.00000055
470139508002,1083.00000048
471379851005,652.00000110
471710803003,1567.18821629
470279550005,797.00000057
471790618004,1390.00000246
470575004002,1076.00000019
470730509001,2712.00000133
